Timestamp,BC_Light values,BC_Motion detected ,BC_Temperature,DT_Light values,DT_Motion detected ,DT_Temperature,K_Light values,K_Motion detected ,K_Temperature,PL_Light values,PL_Motion detected ,PL_Temperature,SF_Light values,SF_Motion detected ,SF_Temperature,SH_Light values,SH_Motion detected ,SH_Temperature,SL_Light values,SL_Motion detected ,SL_Temperature,STAFF_Light values,STAFF_Motion detected ,STAFF_Temperature
2021-05-27 15:30:00,697.0345602143758,0.0,-17.31993734237073,792.5706419554123,,-7.930895782970712,474.86070079645,0.0,-8.401607587510863,660.0147727272728,,161.4919261363636,604.8413132694939,,-6.262667578659368,740.7647020732527,0.0,-11.935807160492466,541.8203028046662,0.0,-12.519341591642391,613.8128205128205,93.0,20.883341880342027
2021-05-27 16:00:00,695.1535308953341,0.0,-16.255933165195444,791.730906974662,,-7.166288835168759,467.21537814684393,0.0,-7.556003048299875,659.6240909090909,,157.4944295454545,598.6751785985713,,-5.506178750569992,740.8299679257553,0.0,-11.083956209287201,532.319434102755,0.0,-11.553661334115521,529.2025641025641,73.0,21.003957264957407
2021-05-27 16:30:00,693.2725015762926,0.0,-15.191928988020159,790.8911719939117,,-6.401681887366806,459.5700554972379,0.0,-6.710398509088886,659.233409090909,,153.4969329545454,592.5090439276486,,-4.749689922480616,740.8952337782579,0.0,-10.232105258081937,522.8185654008439,0.0,-10.587981076588651,578.156862745098,7.0,21.04896845694819
2021-05-27 17:00:00,691.3914722572509,0.0,-14.127924810844874,790.0514370131614,,-5.637074939564853,451.92473284763184,0.0,-5.8647939698778995,658.8427272727273,,149.49943636363633,586.342909256726,,-3.9932010943912406,740.9604996307604,0.0,-9.380254306876672,513.3176966989328,0.0,-9.622300819061781,484.3438566552901,37.0,21.0307849829353
2021-05-27 17:30:00,689.5104429382093,0.0,-13.06392063366959,789.2117020324112,,-4.8724679917629015,444.27941019802586,0.0,-5.019189430666913,658.4520454545454,,145.5019397727272,580.1767745858033,,-3.2367122663018666,741.025765483263,0.0,-8.528403355671408,503.8168279970216,0.0,-8.656620561534908,399.37340153452686,1.0,21.055234441602863
2021-05-27 18:00:00,687.6294136191677,0.0,-11.999916456494304,788.3719670516608,,-4.107861043960948,436.63408754841976,0.0,-4.173584891455924,658.0613636363637,,141.50444318181815,574.0106399148807,,-2.480223438212491,741.0910313357656,0.0,-7.676552404466143,494.3159592951105,0.0,-7.690940304008038,387.71952259164533,0.0,21.026828644501396
2021-05-27 18:30:00,685.7483843001261,0.0,-10.93591227931902,787.5322320709106,,-3.3432540961589936,428.98876489881377,0.0,-3.3279803522449356,657.6706818181818,,137.50694659090905,567.8445052439581,,-1.723734610123115,741.1562971882681,0.0,-6.824701453260879,484.81509059319933,0.0,-6.725260046481168,320.40955631399316,0.0,21.156629692833036
2021-05-27 19:00:00,683.8673549810844,0.0,-9.871908102143735,786.6924970901603,,-2.5786471483570423,421.3434422492077,0.0,-2.4823758130339506,657.28,,133.50944999999996,561.6783705730354,,-0.9672457820337392,741.2215630407707,0.0,-5.972850502055614,475.3142218912882,0.0,-5.759579788954294,305.461210571185,0.0,21.180136402387394
2021-05-27 19:30:00,681.9863256620429,0.0,-8.80790392496845,785.8527621094099,,-1.814040200555091,413.6981195996017,0.0,-1.636771273822962,656.8893181818182,,129.51195340909086,555.5122359021128,,-0.21075695394436522,741.2868288932732,0.0,-5.12099955085035,465.81335318937704,0.0,-4.793899531427424,76.21739130434783,3.0,21.702719522591405
2021-05-27 20:00:00,680.1052963430012,0.0,-7.743899747793165,785.0130271286597,,-1.0494332527531363,406.05279694999564,0.0,-0.7911667346119735,656.4986363636364,,125.51445681818178,549.3461012311902,,0.5457318741450123,741.3520947457758,0.0,-4.269148599645089,456.3124844874659,0.0,-3.8282192739005545,20.656436487638533,3.0,21.779999999999767
2021-05-27 20:30:00,678.2242670239597,0.0,-6.67989557061788,784.1732921479094,,-0.284826304951185,398.4074743003896,0.0,0.05443780459901504,656.1079545454545,,121.51696022727269,543.1799665602675,,1.3022207022343864,741.4173605982784,0.0,-3.417297648439824,446.81161578555475,0.0,-2.8625390163736846,7.86615515771526,0.0,21.779999999999767
2021-05-27 21:00:00,676.343237704918,0.0,-5.615891393442595,783.3335571671591,,0.4797806428507698,390.76215165078355,0.0,0.9000423438100036,655.7172727272728,,117.5194636363636,537.0138318893449,,2.058709530323764,741.4826264507809,0.0,-2.5654466972345595,437.3107470836436,0.0,-1.8968587588468147,1.5115089514066495,2.0,21.779999999999767
2021-05-27 21:30:00,674.4622083858764,0.0,-4.5518872162673105,782.4938221864088,,1.244387590652721,383.1168290011775,0.0,1.7456468830209886,655.3265909090909,,113.52196704545452,530.8476972184222,,2.815198358413138,741.5478923032834,0.0,-1.713595746029295,427.80987838173246,0.0,-0.9311785013199412,0.4032395566922421,1.0,21.779999999999767
2021-05-27 22:00:00,672.5811790668348,0.0,-3.4878830390920257,781.6540872056586,,2.0089945384546724,375.4715063515715,0.0,2.591251422231977,654.9359090909091,,109.52447045454542,524.6815625474997,,3.571687186502512,741.613158155786,0.0,-0.8617447948240304,418.3090096798213,0.0,0.034501756206928746,0.2813299232736573,0.0,21.779999999999767
2021-05-27 22:30:00,670.7001497477931,0.0,-2.423878861916741,780.8143522249082,,2.773601486256627,367.8261837019654,0.0,3.4368559614429657,654.5452272727273,,105.52697386363633,518.515427876577,,4.3281760145918895,741.6784240082886,0.0,-0.009893843618765885,408.80814097791017,0.0,1.0001820137337987,0.8746803069053708,0.0,21.779999999999767
2021-05-27 23:00:00,668.8191204287516,0.0,-1.359874684741456,779.9746172441579,,3.5382084340585784,360.18086105235943,0.0,4.282460500653951,654.1545454545454,,101.52947727272723,512.3492932056544,,5.0846648426812635,741.7436898607912,0.0,0.8419571075864987,399.307272275999,0.0,1.9658622712606721,0.33418584825234443,1.0,21.779999999999767
2021-05-27 23:30:00,666.93809110971,0.0,-0.29587050756617117,779.1348822634077,,4.302815381860533,352.5355384027534,0.0,5.128065039864939,653.7638636363637,,97.53198068181815,506.1831585347318,,5.841153670770641,741.8089557132937,0.0,1.6938080587917632,389.8064035740879,0.0,2.931542528787542,1.1611253196930946,0.0,21.779999999999767
2021-05-28 00:00:00,665.0570617906683,0.0,0.7681336696091137,778.2951472826574,,5.0674223296624845,344.89021575314734,0.0,5.973669579075928,653.3731818181818,,93.53448409090906,500.0170238638091,,6.597642498860015,741.8742215657962,0.0,2.5456590099970278,380.30553487217674,0.0,3.897222786314412,0.2932651321398124,1.0,21.779999999999767
