Reading Date,One Day Total kWh,Status,Substitute Date,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,00:00
2021-03-14,3300.787,ORIG,,66.557,55.483,118.422,113.378,105.812,80.373,65.242,74.014,86.075,68.421,83.114,86.185,83.104,82.994,75.609,87.513,73.736,87.733,74.507,60.399,78.585,71.972,74.838,65.8,75.279,70.76,76.822,66.021,76.381,71.972,82.884,62.273,81.01,68.335,73.956,80.459,28.877,49.378,44.087,44.748,46.843,44.748,58.746,45.41,42.324,40.23,24.799,24.579
2021-03-15,3864.634,ORIG,,55.77,50.59,106.25,97.212,110.769,76.712,85.529,84.427,87.733,84.647,88.395,77.373,77.413,62.062,84.101,97.369,108.553,120.066,108.992,105.593,111.514,106.799,94.847,123.356,142.545,112.172,111.952,87.829,92.435,110.088,98.246,98.356,91.996,81.689,89.365,55.812,58.224,31.579,49.342,41.667,47.917,34.869,38.706,43.75,45.943,39.584,23.794,30.702
2021-03-16,3788.329,ORIG,,51.535,51.755,114.145,102.851,105.593,65.351,76.426,72.588,74.671,82.457,68.092,86.075,81.231,88.725,101.731,118.484,125.648,115.729,121.57,116.721,110.989,78.034,98.976,110.549,103.605,116.611,110.769,114.627,109.777,102.943,103.825,82.333,68.445,70.87,62.273,66.131,36.703,34.168,39.789,43.205,43.536,37.695,43.867,42.765,39.789,46.512,24.909,23.256
2021-03-17,3892.706,ORIG,,54.778,51.802,112.202,115.949,100.188,77.593,70.76,61.832,82.112,70.209,83.655,82.112,94.39,79.212,104.139,114.331,120.978,114.996,117.987,118.984,119.206,100.04,90.069,100.151,99.597,107.684,109.789,105.579,90.845,113.777,106.908,105.801,103.917,83.2,73.34,69.906,43.982,34.898,39.883,42.542,47.527,41.323,46.53,40.437,47.527,45.865,24.373,29.801
2021-03-18,4757.951,ORIG,,62.594,53.62,116.547,111.118,100.704,86.745,69.684,85.084,74.005,77.883,81.76,82.536,85.199,93.664,82.89,104.217,109.934,153.248,150.06,135.329,138.846,134.559,153.358,154.457,139.616,146.762,140.605,126.534,147.971,129.172,141.155,116.64,101.799,111.143,102.129,102.898,72.446,63.762,66.62,67.609,63.212,72.336,64.861,68.819,69.148,66.84,35.838,41.995
2021-03-19,4227.503,ORIG,,72.007,78.932,132.58,139.396,128.842,99.71,102.129,104.217,95.862,106.636,105.756,94.213,77.613,88.497,116.31,104.327,116.64,117.629,110.923,126.754,114.111,113.232,115.54,97.072,114.771,95.642,109.604,101.029,92.015,88.497,98.391,114.221,104.767,85.309,77.064,77.723,38.587,40.456,32.65,41.225,41.005,46.172,44.193,46.282,49.58,39.576,47.601,42.215
2021-03-20,3203.58,ORIG,,46.172,47.381,102.348,108.065,107.076,79.152,83.0,77.833,83.989,79.922,78.493,83.22,80.911,84.429,71.787,82.011,84.759,72.336,71.567,77.943,76.074,78.383,68.709,72.666,85.199,65.301,73.106,73.216,73.106,66.51,76.514,68.379,76.844,60.683,70.797,62.992,46.502,37.377,45.513,38.367,41.555,30.012,49.14,39.026,41.995,40.236,17.04,25.944
2021-03-21,3131.45,ORIG,,55.297,49.47,110.264,112.902,96.082,70.797,72.996,69.588,70.468,85.528,65.301,83.0,74.876,80.136,79.801,73.981,79.129,66.034,75.995,72.19,74.876,78.234,79.017,71.742,81.367,62.565,53.499,68.273,63.348,62.676,65.81,71.406,65.81,76.107,65.475,69.951,40.964,42.419,38.949,40.18,49.693,42.754,38.613,48.35,35.591,45.664,27.421,26.861
2021-03-22,2991.04,ORIG,,56.073,58.423,113.713,114.944,103.416,74.876,65.475,77.562,76.107,81.367,79.129,78.122,92.548,88.641,96.12,125.593,124.7,113.536,101.256,102.037,55.819,39.632,46.888,51.8,60.508,56.042,56.154,40.86,34.05,44.432,50.572,42.981,45.772,38.292,41.083,36.059,47.893,35.948,38.627,34.273,30.589,41.418,34.273,40.413,39.073,36.282,19.983,27.686
2021-03-23,2536.393,ORIG,,50.795,47.0,49.344,46.553,46.665,44.544,40.748,40.636,43.985,42.199,39.52,44.097,56.356,68.622,77.462,70.058,78.014,80.666,69.837,71.937,78.677,67.959,71.384,83.429,91.275,74.036,89.175,70.942,58.345,69.616,50.61,43.427,38.455,28.62,30.72,29.615,40.554,50.941,34.145,50.831,30.278,42.212,32.598,37.571,53.262,28.731,24.642,25.305
